Clock: 12.343114213, Future Event List: [(Departure, 12.35364367), (Arrival, 13.26582212), ], Number of Departures: 20, Queue Size: 2, Server Utilization: 5.398945414
Clock: 12.35364367, Future Event List: [(Departure, 13.177347315), (Arrival, 13.26582212), ], Number of Departures: 21, Queue Size: 1, Server Utilization: 5.394343698
Clock: 13.177347315, Future Event List: [(Arrival, 13.26582212), (Departure, 13.987962278), ], Number of Departures: 22, Queue Size: 0, Server Utilization: 5.057148323
Clock: 13.26582212, Future Event List: [(Arrival, 13.586144752), (Departure, 13.987962278), ], Number of Departures: 22, Queue Size: 1, Server Utilization: 5.02342028
Clock: 13.586144752, Future Event List: [(Departure, 13.987962278), (Arrival, 14.443688561), ], Number of Departures: 22, Queue Size: 2, Server Utilization: 4.904982325
Clock: 13.987962278, Future Event List: [(Arrival, 14.443688561), (Departure, 14.790199294), ], Number of Departures: 23, Queue Size: 1, Server Utilization: 4.764082041
Clock: 14.443688561, Future Event List: [(Arrival, 14.703535229), (Departure, 14.790199294), ], Number of Departures: 23, Queue Size: 2, Server Utilization: 4.613766047
Clock: 14.703535229, Future Event List: [(Departure, 14.790199294), (Arrival, 15.581598172), ], Number of Departures: 23, Queue Size: 3, Server Utilization: 4.532229755
Clock: 14.790199294, Future Event List: [(Departure, 15.49831267), (Arrival, 15.581598172), ], Number of Departures: 24, Queue Size: 2, Server Utilization: 4.505672882
Clock: 15.49831267, Future Event List: [(Arrival, 15.581598172), (Departure, 16.357690524), ], Number of Departures: 25, Queue Size: 1, Server Utilization: 4.299810005
Clock: 15.581598172, Future Event List: [(Arrival, 15.769865789), (Departure, 16.357690524), ], Number of Departures: 25, Queue Size: 2, Server Utilization: 4.276827007
Clock: 15.769865789, Future Event List: [(Departure, 16.357690524), (Arrival, 16.529059626), ], Number of Departures: 25, Queue Size: 3, Server Utilization: 4.225768359
Clock: 16.357690524, Future Event List: [(Arrival, 16.529059626), (Departure, 17.138775042), ], Number of Departures: 26, Queue Size: 2, Server Utilization: 4.073912499
Clock: 16.529059626, Future Event List: [(Arrival, 16.560748926), (Departure, 17.138775042), ], Number of Departures: 26, Queue Size: 3, Server Utilization: 4.031675206
Clock: 16.560748926, Future Event List: [(Departure, 17.138775042), (Arrival, 17.203088083), ], Number of Departures: 26, Queue Size: 4, Server Utilization: 4.023960521
Clock: 17.138775042, Future Event List: [(Arrival, 17.203088083), (Departure, 17.342571893), ], Number of Departures: 27, Queue Size: 3, Server Utilization: 3.888247539
Clock: 17.203088083, Future Event List: [(Departure, 17.342571893), (Arrival, 17.769958996), ], Number of Departures: 27, Queue Size: 4, Server Utilization: 3.873711484
Clock: 17.342571893, Future Event List: [(Arrival, 17.769958996), (Departure, 18.335915143), ], Number of Departures: 28, Queue Size: 3, Server Utilization: 3.84255578
Clock: 17.769958996, Future Event List: [(Arrival, 18.146368541), (Departure, 18.335915143), ], Number of Departures: 28, Queue Size: 4, Server Utilization: 3.750138078
Clock: 18.146368541, Future Event List: [(Departure, 18.335915143), (Arrival, 18.35891692), ], Number of Departures: 28, Queue Size: 5, Server Utilization: 3.672349083
Clock: 18.335915143, Future Event List: [(Arrival, 18.35891692), (Departure, 18.429539671), ], Number of Departures: 29, Queue Size: 4, Server Utilization: 3.634386359
Clock: 18.35891692, Future Event List: [(Departure, 18.429539671), (Arrival, 19.15107376), ], Number of Departures: 29, Queue Size: 5, Server Utilization: 3.629832858
Clock: 18.429539671, Future Event List: [(Departure, 19.080158215), (Arrival, 19.15107376), ], Number of Departures: 30, Queue Size: 4, Server Utilization: 3.61592319
Clock: 19.080158215, Future Event List: [(Arrival, 19.15107376), (Departure, 19.295334741), ], Number of Departures: 31, Queue Size: 3, Server Utilization: 3.492623024
Clock: 19.15107376, Future Event List: [(Departure, 19.295334741), (Arrival, 19.29651724), ], Number of Departures: 31, Queue Size: 4, Server Utilization: 3.479690001
Clock: 19.295334741, Future Event List: [(Arrival, 19.29651724), (Departure, 19.539207843), ], Number of Departures: 32, Queue Size: 3, Server Utilization: 3.453674205
Clock: 19.29651724, Future Event List: [(Departure, 19.539207843), (Arrival, 19.78565969), ], Number of Departures: 32, Queue Size: 4, Server Utilization: 3.453462562
Clock: 19.539207843, Future Event List: [(Arrival, 19.78565969), (Departure, 19.878895648), ], Number of Departures: 33, Queue Size: 3, Server Utilization: 3.410568146
Clock: 19.78565969, Future Event List: [(Arrival, 19.798505437), (Departure, 19.878895648), ], Number of Departures: 33, Queue Size: 4, Server Utilization: 3.368085822
Clock: 19.798505437, Future Event List: [(Departure, 19.878895648), (Arrival, 19.985117462), ], Number of Departures: 33, Queue Size: 5, Server Utilization: 3.365900526
Clock: 19.878895648, Future Event List: [(Arrival, 19.985117462), (Departure, 20.076757989), ], Number of Departures: 34, Queue Size: 4, Server Utilization: 3.352288832
Clock: 19.985117462, Future Event List: [(Departure, 20.076757989), (Arrival, 20.470347919), ], Number of Departures: 34, Queue Size: 5, Server Utilization: 3.334471263
Clock: 20.076757989, Future Event List: [(Arrival, 20.470347919), (Departure, 20.583591366), ], Number of Departures: 35, Queue Size: 4, Server Utilization: 3.319251042
Clock: 20.470347919, Future Event List: [(Departure, 20.583591366), (Arrival, 21.308573996), ], Number of Departures: 35, Queue Size: 5, Server Utilization: 3.25543074
Clock: 20.583591366, Future Event List: [(Arrival, 21.308573996), (Departure, 21.534349349), ], Number of Departures: 36, Queue Size: 4, Server Utilization: 3.237520542
Clock: 21.308573996, Future Event List: [(Arrival, 21.449630965), (Departure, 21.534349349), ], Number of Departures: 36, Queue Size: 5, Server Utilization: 3.127370226
Clock: 21.449630965, Future Event List: [(Departure, 21.534349349), (Arrival, 22.181847952), ], Number of Departures: 36, Queue Size: 6, Server Utilization: 3.106804028
Clock: 21.534349349, Future Event List: [(Departure, 21.928956567), (Arrival, 22.181847952), ], Number of Departures: 37, Queue Size: 5, Server Utilization: 3.094581535
Clock: 21.928956567, Future Event List: [(Arrival, 22.181847952), (Departure, 22.513421407), ], Number of Departures: 38, Queue Size: 4, Server Utilization: 3.038895155
Clock: 22.181847952, Future Event List: [(Departure, 22.513421407), (Arrival, 22.872914868), ], Number of Departures: 38, Queue Size: 5, Server Utilization: 3.004249241
Clock: 22.513421407, Future Event List: [(Arrival, 22.872914868), (Departure, 23.119958653), ], Number of Departures: 39, Queue Size: 4, Server Utilization: 2.960003221
Clock: 22.872914868, Future Event List: [(Arrival, 22.907407488), (Departure, 23.119958653), ], Number of Departures: 39, Queue Size: 5, Server Utilization: 2.913480868
Clock: 22.907407488, Future Event List: [(Departure, 23.119958653), (Arrival, 23.396264752), ], Number of Departures: 39, Queue Size: 6, Server Utilization: 2.909093921
Clock: 23.119958653, Future Event List: [(Arrival, 23.396264752), (Departure, 23.83460152), ], Number of Departures: 40, Queue Size: 5, Server Utilization: 2.88234944
Clock: 23.396264752, Future Event List: [(Departure, 23.83460152), (Arrival, 24.367655162), ], Number of Departures: 40, Queue Size: 6, Server Utilization: 2.84830936
Clock: 23.83460152, Future Event List: [(Departure, 24.236137874), (Arrival, 24.367655162), ], Number of Departures: 41, Queue Size: 5, Server Utilization: 2.795926746
